mcycle 202 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 9 
 temps CPU 1.432000 
15.299907 16.981977 17.736838 
15.750192 16.500380 18.573979 
16.386385 16.458930 17.553442 
15.818571 16.004638 19.077085 
16.108759 16.505482 18.249213 
16.415304 15.309813 18.344975 
16.415304 15.309813 18.344975 
15.850950 16.866545 17.680365 
17.019281 16.418379 17.538027 
