mcycle 402 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 159 
 temps CPU 7.507000 
23.398998 24.342402 31.032741 
23.398998 24.342402 31.032741 
22.839187 24.665584 31.060335 
23.398998 24.342402 31.032741 
23.302273 24.338403 31.168238 
23.398998 24.342402 31.032741 
22.154098 25.000471 30.855804 
22.839187 24.665584 31.060335 
22.154098 25.000471 30.855804 
22.732830 25.093635 30.810709 
22.839187 24.665584 31.060335 
21.439160 24.977393 31.062626 
23.147272 24.791575 30.698584 
22.940075 24.692085 30.909294 
22.802942 24.933355 31.013023 
22.696585 25.361406 30.763397 
22.802942 24.933355 31.013023 
21.980192 26.089042 29.563766 
21.442892 25.740391 29.678405 
20.756711 26.612210 28.768917 
21.069220 25.857826 29.620245 
21.941325 26.411275 28.950974 
22.135147 26.405255 28.717198 
22.560304 26.641189 28.704819 
21.697277 26.433707 28.748192 
21.697277 26.433707 28.748192 
21.346396 26.448447 28.731444 
22.196452 26.750460 28.499499 
22.066786 26.758531 28.257547 
21.248015 26.783978 28.313463 
21.826747 26.877142 28.268368 
21.826747 26.877142 28.268368 
21.826747 26.877142 28.268368 
21.587181 26.884708 28.228565 
20.825338 27.389337 27.538315 
21.930869 27.281641 27.541655 
22.095405 26.888200 27.608312 
22.690925 27.039042 27.459763 
22.583030 26.762971 27.694917 
20.683070 27.767781 26.115741 
21.802038 27.654006 26.810043 
20.180666 27.668170 26.555375 
21.848361 27.538406 26.969742 
20.180666 27.668170 26.555375 
21.848361 27.538406 26.969742 
21.773119 27.443283 27.497547 
21.802038 27.654006 26.810043 
21.848361 27.538406 26.969742 
20.683070 27.767781 26.115741 
20.742488 27.775785 25.772480 
19.748438 27.732872 26.398797 
21.565550 27.702716 25.729385 
21.784426 27.678957 26.042257 
20.180666 27.668170 26.555375 
20.515408 27.850627 26.083814 
20.515408 27.850627 26.083814 
20.515408 27.850627 26.083814 
20.420232 27.660604 26.595178 
21.770979 27.697385 26.050123 
20.180666 27.668170 26.555375 
20.683070 27.767781 26.115741 
19.596965 27.917920 24.880017 
21.770979 27.697385 26.050123 
22.874811 27.176599 27.405710 
21.751848 27.685149 26.510523 
20.515408 27.850627 26.083814 
21.751848 27.685149 26.510523 
21.802038 27.654006 26.810043 
22.566545 27.418724 27.226960 
20.696165 27.891385 25.612781 
21.565550 27.702716 25.729385 
21.565550 27.702716 25.729385 
19.596965 27.917920 24.880017 
23.903328 24.341830 30.240226 
