mcycle 802 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 21 
 temps CPU 1.927000 
25.571027 25.445439 23.595279 
25.580125 26.194200 23.398024 
25.218438 26.034802 23.952068 
24.692181 26.576305 23.537878 
24.720912 26.356313 23.816901 
25.075087 25.670220 24.111163 
23.980673 26.037498 24.415375 
22.988500 23.732820 24.611669 
25.658684 25.357081 23.900687 
25.052513 26.772508 23.517098 
25.613735 25.576323 23.462214 
24.629724 26.175875 24.026567 
24.774817 25.894866 24.134974 
25.377784 25.063012 24.402588 
25.256328 26.124887 23.782707 
25.345415 25.312520 24.017500 
25.551286 25.825162 23.922184 
25.335547 26.001734 24.036049 
24.952939 25.264978 24.235807 
26.367498 24.983069 24.065583 
26.141780 25.192506 23.646703 
mcycle 802 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
mcycle 802 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
