mcycle 202 nbants 20 alphat 1 beta 10.000000 rho 0.900000 tmax 1.000000
cardinalité ensemble Pareto 20 
 temps CPU 35.650000 
16.224222 15.980433 19.009894 
16.095401 15.046422 19.573060 
16.097902 16.530471 19.218938 
15.956932 15.321037 19.651455 
15.830014 16.897797 20.129203 
15.740225 15.925643 20.178596 
15.845208 16.852089 19.279567 
15.180829 16.990394 20.132961 
15.670767 16.092946 20.247083 
15.041181 17.345301 19.993573 
14.802676 16.916319 20.502721 
15.050177 16.095411 20.144475 
14.508014 16.999168 20.084775 
15.947097 15.837293 19.453153 
15.896155 16.654486 20.125361 
16.143967 16.433164 19.404432 
15.842198 17.124631 19.439238 
15.560436 17.290177 19.395582 
15.362085 15.773778 20.411861 
14.915263 16.650187 20.481950 
